workplace,category,city
Azienda di ROVIGO,Azienda,ROVIGO
Ufficio di L'AQUILA,Ufficio,L'AQUILA
Ospedale di L'AQUILA,Ospedale,L'AQUILA
Azienda di L'AQUILA,Azienda,L'AQUILA
Fabbrica di L'AQUILA,Fabbrica,L'AQUILA
Ufficio di REGGIO DI CALABRIA,Ufficio,REGGIO DI CALABRIA
Ospedale di BARI,Ospedale,BARI
Ospedale di FERRARA,Ospedale,FERRARA
Fabbrica di FERRARA,Fabbrica,FERRARA
Azienda di VICENZA,Azienda,VICENZA
Ospedale di REGGIO DI CALABRIA,Ospedale,REGGIO DI CALABRIA
Fabbrica di REGGIO DI CALABRIA,Fabbrica,REGGIO DI CALABRIA
Ufficio di SAVONA,Ufficio,SAVONA
Ospedale di SAVONA,Ospedale,SAVONA
Azienda di SAVONA,Azienda,SAVONA
Azienda di PISA,Azienda,PISA
Fabbrica di PISA,Fabbrica,PISA
Ufficio di PISA,Ufficio,PISA
Azienda di CALTANISSETTA,Azienda,CALTANISSETTA
Ufficio di CALTANISSETTA,Ufficio,CALTANISSETTA
Ospedale di CALTANISSETTA,Ospedale,CALTANISSETTA
Ospedale di RAGUSA,Ospedale,RAGUSA
Fabbrica di RAGUSA,Fabbrica,RAGUSA
Fabbrica di SONDRIO,Fabbrica,SONDRIO
Ufficio di RAGUSA,Ufficio,RAGUSA
Azienda di RAGUSA,Azienda,RAGUSA
Fabbrica di BARI,Fabbrica,BARI
Ospedale di PISA,Ospedale,PISA
Ufficio di VICENZA,Ufficio,VICENZA
Fabbrica di VICENZA,Fabbrica,VICENZA
Ospedale di VICENZA,Ospedale,VICENZA
Azienda di REGGIO DI CALABRIA,Azienda,REGGIO DI CALABRIA
Azienda di FERRARA,Azienda,FERRARA
Fabbrica di SAVONA,Fabbrica,SAVONA
Ufficio di BELLUNO,Ufficio,BELLUNO
Fabbrica di BELLUNO,Fabbrica,BELLUNO
Fabbrica di RIMINI,Fabbrica,RIMINI
Azienda di RIMINI,Azienda,RIMINI
Ufficio di VARESE,Ufficio,VARESE
Azienda di VARESE,Azienda,VARESE
Ospedale di VARESE,Ospedale,VARESE
Ospedale di RIMINI,Ospedale,RIMINI
Ospedale di TRIESTE,Ospedale,TRIESTE
Azienda di TRIESTE,Azienda,TRIESTE
Ufficio di TRIESTE,Ufficio,TRIESTE
Fabbrica di VARESE,Fabbrica,VARESE
Ospedale di OSSOLA,Ospedale,OSSOLA
Fabbrica di OSSOLA,Fabbrica,OSSOLA
Fabbrica di GORIZIA,Fabbrica,GORIZIA
Azienda di GORIZIA,Azienda,GORIZIA
Ufficio di OSSOLA,Ufficio,OSSOLA
Azienda di LA SPEZIA,Azienda,LA SPEZIA
Ufficio di LA SPEZIA,Ufficio,LA SPEZIA
Fabbrica di LA SPEZIA,Fabbrica,LA SPEZIA
Ospedale di LA SPEZIA,Ospedale,LA SPEZIA
Ufficio di GORIZIA,Ufficio,GORIZIA
Ospedale di GORIZIA,Ospedale,GORIZIA
Ufficio di RIMINI,Ufficio,RIMINI
Ospedale di MACERATA,Ospedale,MACERATA
Azienda di MACERATA,Azienda,MACERATA
Ufficio di MACERATA,Ufficio,MACERATA
Fabbrica di MACERATA,Fabbrica,MACERATA
Azienda di OSSOLA,Azienda,OSSOLA
Ospedale di BELLUNO,Ospedale,BELLUNO
Fabbrica di TRIESTE,Fabbrica,TRIESTE
Ufficio di GROSSETO,Ufficio,GROSSETO
Azienda di FROSINONE,Azienda,FROSINONE
Ufficio di FROSINONE,Ufficio,FROSINONE
Ospedale di FROSINONE,Ospedale,FROSINONE
Fabbrica di FROSINONE,Fabbrica,FROSINONE
Ufficio di CREMONA,Ufficio,CREMONA
Azienda di CREMONA,Azienda,CREMONA
Fabbrica di CREMONA,Fabbrica,CREMONA
Ospedale di CREMONA,Ospedale,CREMONA
Ospedale di PESARO,Ospedale,PESARO
Fabbrica di TARANTO,Fabbrica,TARANTO
Azienda di TARANTO,Azienda,TARANTO
Ospedale di TARANTO,Ospedale,TARANTO
Ufficio di TARANTO,Ufficio,TARANTO
Fabbrica di SASSARI,Fabbrica,SASSARI
Azienda di SASSARI,Azienda,SASSARI
Ufficio di SASSARI,Ufficio,SASSARI
Ospedale di SASSARI,Ospedale,SASSARI
Ospedale di GROSSETO,Ospedale,GROSSETO
Azienda di GROSSETO,Azienda,GROSSETO
Fabbrica di GROSSETO,Fabbrica,GROSSETO
Azienda di PIACENZA,Azienda,PIACENZA
Fabbrica di PIACENZA,Fabbrica,PIACENZA
Ufficio di FERRARA,Ufficio,FERRARA
Azienda di PESARO,Azienda,PESARO
Azienda di ANCONA,Azienda,ANCONA
Ufficio di ANCONA,Ufficio,ANCONA
Fabbrica di ANCONA,Fabbrica,ANCONA
Ospedale di FIRENZE,Ospedale,FIRENZE
Azienda di FIRENZE,Azienda,FIRENZE
Ufficio di FIRENZE,Ufficio,FIRENZE
Fabbrica di FIRENZE,Fabbrica,FIRENZE
Ospedale di ANCONA,Ospedale,ANCONA
Ufficio di MESSINA,Ufficio,MESSINA
Fabbrica di MESSINA,Fabbrica,MESSINA
Azienda di MESSINA,Azienda,MESSINA
Ospedale di MESSINA,Ospedale,MESSINA
Ospedale di TREVISO,Ospedale,TREVISO
Ufficio di LECCO,Ufficio,LECCO
Ospedale di LECCO,Ospedale,LECCO
Fabbrica di LECCO,Fabbrica,LECCO
Fabbrica di PISTOIA,Fabbrica,PISTOIA
Azienda di PISTOIA,Azienda,PISTOIA
Ufficio di PISTOIA,Ufficio,PISTOIA
Fabbrica di IMPERIA,Fabbrica,IMPERIA
Azienda di IMPERIA,Azienda,IMPERIA
Ufficio di IMPERIA,Ufficio,IMPERIA
Azienda di MILANO,Azienda,MILANO
Ospedale di MILANO,Ospedale,MILANO
Azienda di LODI,Azienda,LODI
Fabbrica di PAVIA,Fabbrica,PAVIA
Azienda di PAVIA,Azienda,PAVIA
Fabbrica di BARLETTA,Fabbrica,BARLETTA
Ospedale di PISTOIA,Ospedale,PISTOIA
Ospedale di CESENA,Ospedale,CESENA
Azienda di GENOVA,Azienda,GENOVA
Ospedale di GENOVA,Ospedale,GENOVA
Ufficio di GENOVA,Ufficio,GENOVA
Fabbrica di GENOVA,Fabbrica,GENOVA
Ospedale di PIACENZA,Ospedale,PIACENZA
Ufficio di PIACENZA,Ufficio,PIACENZA
Ufficio di VENEZIA,Ufficio,VENEZIA
Fabbrica di VENEZIA,Fabbrica,VENEZIA
Ufficio di SIRACUSA,Ufficio,SIRACUSA
Fabbrica di SIRACUSA,Fabbrica,SIRACUSA
Ospedale di SIRACUSA,Ospedale,SIRACUSA
Ospedale di VERONA,Ospedale,VERONA
Fabbrica di AGRIGENTO,Fabbrica,AGRIGENTO
Ufficio di AGRIGENTO,Ufficio,AGRIGENTO
Ospedale di AGRIGENTO,Ospedale,AGRIGENTO
Fabbrica di CUSIO,Fabbrica,CUSIO
Ufficio di CUSIO,Ufficio,CUSIO
Ospedale di CUSIO,Ospedale,CUSIO
Azienda di CUSIO,Azienda,CUSIO
Fabbrica di TREVISO,Fabbrica,TREVISO
Ufficio di TREVISO,Ufficio,TREVISO
Azienda di TREVISO,Azienda,TREVISO
Azienda di AGRIGENTO,Azienda,AGRIGENTO
Ospedale di VENEZIA,Ospedale,VENEZIA
Azienda di VENEZIA,Azienda,VENEZIA
Ufficio di VERONA,Ufficio,VERONA
Azienda di SIRACUSA,Azienda,SIRACUSA
Azienda di CESENA,Azienda,CESENA
Fabbrica di CESENA,Fabbrica,CESENA
Ospedale di ENNA,Ospedale,ENNA
Ufficio di ENNA,Ufficio,ENNA
Fabbrica di ENNA,Fabbrica,ENNA
Fabbrica di VERCELLI,Fabbrica,VERCELLI
Ospedale di VERCELLI,Ospedale,VERCELLI
Fabbrica di OLBIA,Fabbrica,OLBIA
Azienda di OLBIA,Azienda,OLBIA
Ufficio di OLBIA,Ufficio,OLBIA
Ospedale di OLBIA,Ospedale,OLBIA
Ufficio di BRINDISI,Ufficio,BRINDISI
Azienda di BRINDISI,Azienda,BRINDISI
Ospedale di BRINDISI,Ospedale,BRINDISI
Fabbrica di BRINDISI,Fabbrica,BRINDISI
Fabbrica di CHIETI,Fabbrica,CHIETI
Ospedale di CHIETI,Ospedale,CHIETI
Azienda di CHIETI,Azienda,CHIETI
Ufficio di CHIETI,Ufficio,CHIETI
Ufficio di IGLESIAS,Ufficio,IGLESIAS
Azienda di VERCELLI,Azienda,VERCELLI
Azienda di ENNA,Azienda,ENNA
Ospedale di IGLESIAS,Ospedale,IGLESIAS
Azienda di IGLESIAS,Azienda,IGLESIAS
Fabbrica di IGLESIAS,Fabbrica,IGLESIAS
Fabbrica di TRANI,Fabbrica,TRANI
Ospedale di TRANI,Ospedale,TRANI
Ufficio di TRANI,Ufficio,TRANI
Fabbrica di PESCARA,Fabbrica,PESCARA
Azienda di PRATO,Azienda,PRATO
Fabbrica di PRATO,Fabbrica,PRATO
Ospedale di PRATO,Ospedale,PRATO
Ospedale di PAVIA,Ospedale,PAVIA
Ufficio di PAVIA,Ufficio,PAVIA
Ospedale di BERGAMO,Ospedale,BERGAMO
Azienda di BERGAMO,Azienda,BERGAMO
Fabbrica di BERGAMO,Fabbrica,BERGAMO
Ufficio di BERGAMO,Ufficio,BERGAMO
Ufficio di LODI,Ufficio,LODI
Ospedale di LODI,Ospedale,LODI
Fabbrica di LODI,Fabbrica,LODI
Fabbrica di ROVIGO,Fabbrica,ROVIGO
Azienda di PERUGIA,Azienda,PERUGIA
Ufficio di PERUGIA,Ufficio,PERUGIA
Fabbrica di PERUGIA,Fabbrica,PERUGIA
Ospedale di PERUGIA,Ospedale,PERUGIA
Ufficio di PESCARA,Ufficio,PESCARA
Fabbrica di RIETI,Fabbrica,RIETI
Ufficio di VERCELLI,Ufficio,VERCELLI
Azienda di ALESSANDRIA,Azienda,ALESSANDRIA
Ufficio di ALESSANDRIA,Ufficio,ALESSANDRIA
Ospedale di ALESSANDRIA,Ospedale,ALESSANDRIA
Fabbrica di MILANO,Fabbrica,MILANO
Ufficio di MILANO,Ufficio,MILANO
Fabbrica di PARMA,Fabbrica,PARMA
Ufficio di CROTONE,Ufficio,CROTONE
Ospedale di CROTONE,Ospedale,CROTONE
Ufficio di VIBO VALENTIA,Ufficio,VIBO VALENTIA
Fabbrica di VIBO VALENTIA,Fabbrica,VIBO VALENTIA
Ospedale di VIBO VALENTIA,Ospedale,VIBO VALENTIA
Azienda di VIBO VALENTIA,Azienda,VIBO VALENTIA
Ufficio di REGGIO NELL'EMILIA,Ufficio,REGGIO NELL'EMILIA
Azienda di RIETI,Azienda,RIETI
Ospedale di RIETI,Ospedale,RIETI
Ufficio di RIETI,Ufficio,RIETI
Fabbrica di MANTOVA,Fabbrica,MANTOVA
Fabbrica di PORDENONE,Fabbrica,PORDENONE
Ospedale di PORDENONE,Ospedale,PORDENONE
Azienda di PORDENONE,Azienda,PORDENONE
Azienda di UDINE,Azienda,UDINE
Ufficio di UDINE,Ufficio,UDINE
Ospedale di UDINE,Ospedale,UDINE
Fabbrica di BRESCIA,Fabbrica,BRESCIA
Azienda di VITERBO,Azienda,VITERBO
Ufficio di VITERBO,Ufficio,VITERBO
Ospedale di VITERBO,Ospedale,VITERBO
Azienda di MODENA,Azienda,MODENA
Fabbrica di MODENA,Fabbrica,MODENA
Ufficio di MODENA,Ufficio,MODENA
Ospedale di MODENA,Ospedale,MODENA
Fabbrica di VITERBO,Fabbrica,VITERBO
Fabbrica di UDINE,Fabbrica,UDINE
Ufficio di PORDENONE,Ufficio,PORDENONE
Ufficio di MONZA,Ufficio,MONZA
Ospedale di MONZA,Ospedale,MONZA
Fabbrica di MONZA,Fabbrica,MONZA
Azienda di MONZA,Azienda,MONZA
Ufficio di CARRARA,Ufficio,CARRARA
Ospedale di CARRARA,Ospedale,CARRARA
Fabbrica di CARRARA,Fabbrica,CARRARA
Azienda di CAMPOBASSO,Azienda,CAMPOBASSO
Fabbrica di CAMPOBASSO,Fabbrica,CAMPOBASSO
Ufficio di CAMPOBASSO,Ufficio,CAMPOBASSO
Ospedale di CAMPOBASSO,Ospedale,CAMPOBASSO
Azienda di CARRARA,Azienda,CARRARA
Ufficio di BENEVENTO,Ufficio,BENEVENTO
Fabbrica di BENEVENTO,Fabbrica,BENEVENTO
Ospedale di BENEVENTO,Ospedale,BENEVENTO
Azienda di BENEVENTO,Azienda,BENEVENTO
Azienda di CATANIA,Azienda,CATANIA
Fabbrica di CUNEO,Fabbrica,CUNEO
Ufficio di CUNEO,Ufficio,CUNEO
Ufficio di COMO,Ufficio,COMO
Ospedale di COMO,Ospedale,COMO
Azienda di COMO,Azienda,COMO
Fabbrica di COMO,Fabbrica,COMO
Fabbrica di NAPOLI,Fabbrica,NAPOLI
Azienda di NAPOLI,Azienda,NAPOLI
Ufficio di NAPOLI,Ufficio,NAPOLI
Azienda di PARMA,Azienda,PARMA
Ufficio di PARMA,Ufficio,PARMA
Ospedale di PARMA,Ospedale,PARMA
Ospedale di COSENZA,Ospedale,COSENZA
Ufficio di RAVENNA,Ufficio,RAVENNA
Fabbrica di RAVENNA,Fabbrica,RAVENNA
Ospedale di RAVENNA,Ospedale,RAVENNA
Fabbrica di CALTANISSETTA,Fabbrica,CALTANISSETTA
Azienda di CUNEO,Azienda,CUNEO
Ufficio di CARBONIA,Ufficio,CARBONIA
Fabbrica di CARBONIA,Fabbrica,CARBONIA
Azienda di CARBONIA,Azienda,CARBONIA
Ospedale di CARBONIA,Ospedale,CARBONIA
Ufficio di PRATO,Ufficio,PRATO
Fabbrica di ASCOLI PICENO,Fabbrica,ASCOLI PICENO
Ospedale di ASCOLI PICENO,Ospedale,ASCOLI PICENO
Azienda di ASCOLI PICENO,Azienda,ASCOLI PICENO
Ufficio di ASCOLI PICENO,Ufficio,ASCOLI PICENO
Azienda di NOVARA,Azienda,NOVARA
Ufficio di NOVARA,Ufficio,NOVARA
Ospedale di NOVARA,Ospedale,NOVARA
Fabbrica di NOVARA,Fabbrica,NOVARA
Fabbrica di SALERNO,Fabbrica,SALERNO
Ufficio di ISERNIA,Ufficio,ISERNIA
Fabbrica di ISERNIA,Fabbrica,ISERNIA
Azienda di ISERNIA,Azienda,ISERNIA
Ospedale di ISERNIA,Ospedale,ISERNIA
Ufficio di CATANZARO,Ufficio,CATANZARO
Azienda di CATANZARO,Azienda,CATANZARO
Ospedale di CATANZARO,Ospedale,CATANZARO
Fabbrica di CATANZARO,Fabbrica,CATANZARO
Azienda di PESCARA,Azienda,PESCARA
Ospedale di PESCARA,Ospedale,PESCARA
Ufficio di LIVORNO,Ufficio,LIVORNO
Azienda di LIVORNO,Azienda,LIVORNO
Ospedale di LIVORNO,Ospedale,LIVORNO
Ospedale di SALERNO,Ospedale,SALERNO
Ufficio di SALERNO,Ufficio,SALERNO
Azienda di CROTONE,Azienda,CROTONE
Fabbrica di AVELLINO,Fabbrica,AVELLINO
Azienda di AVELLINO,Azienda,AVELLINO
Ospedale di AVELLINO,Ospedale,AVELLINO
Azienda di COSENZA,Azienda,COSENZA
Ufficio di COSENZA,Ufficio,COSENZA
Fabbrica di COSENZA,Fabbrica,COSENZA
Azienda di TERAMO,Azienda,TERAMO
Ufficio di TERAMO,Ufficio,TERAMO
Ospedale di TRENTO,Ospedale,TRENTO
Azienda di TRENTO,Azienda,TRENTO
Ufficio di TRENTO,Ufficio,TRENTO
Fabbrica di LATINA,Fabbrica,LATINA
Ospedale di LATINA,Ospedale,LATINA
Ufficio di LATINA,Ufficio,LATINA
Fabbrica di LIVORNO,Fabbrica,LIVORNO
Ospedale di TERAMO,Ospedale,TERAMO
Azienda di TRAPANI,Azienda,TRAPANI
Ospedale di TRAPANI,Ospedale,TRAPANI
Ufficio di TRAPANI,Ufficio,TRAPANI
Azienda di LATINA,Azienda,LATINA
Fabbrica di TRENTO,Fabbrica,TRENTO
