school,category,city
Scuola Media di PISTOIA,Scuola Media,PISTOIA
Scuola Media di MESSINA,Scuola Media,MESSINA
Scuola Elementare di PISTOIA,Scuola Elementare,PISTOIA
Scuola Elementare di MESSINA,Scuola Elementare,MESSINA
Scuola Media di VARESE,Scuola Media,VARESE
Scuola Elementare di PAVIA,Scuola Elementare,PAVIA
Scuola Elementare di LUCCA,Scuola Elementare,LUCCA
Scuola Media di L'AQUILA,Scuola Media,L'AQUILA
Scuola Elementare di VARESE,Scuola Elementare,VARESE
Scuola Elementare di IMPERIA,Scuola Elementare,IMPERIA
Università di SIRACUSA,Università,SIRACUSA
Università di PIACENZA,Università,PIACENZA
Università di GENOVA,Università,GENOVA
Università di CUSIO,Università,CUSIO
Università di VENEZIA,Università,VENEZIA
Università di AGRIGENTO,Università,AGRIGENTO
Scuola Superiore di GENOVA,Scuola Superiore,GENOVA
Università di TREVISO,Università,TREVISO
Università di CESENA,Università,CESENA
Scuola Superiore di SIRACUSA,Scuola Superiore,SIRACUSA
Scuola Superiore di AGRIGENTO,Scuola Superiore,AGRIGENTO
Scuola Superiore di CUSIO,Scuola Superiore,CUSIO
Scuola Superiore di VENEZIA,Scuola Superiore,VENEZIA
Università di VERCELLI,Università,VERCELLI
Università di CHIETI,Università,CHIETI
Università di BRINDISI,Università,BRINDISI
Scuola Elementare di OLBIA,Scuola Elementare,OLBIA
Scuola Elementare di CHIETI,Scuola Elementare,CHIETI
Scuola Elementare di BRINDISI,Scuola Elementare,BRINDISI
Scuola Elementare di IGLESIAS,Scuola Elementare,IGLESIAS
Scuola Elementare di FERRARA,Scuola Elementare,FERRARA
Scuola Elementare di TARANTO,Scuola Elementare,TARANTO
Scuola Media di FERRARA,Scuola Media,FERRARA
Scuola Media di IGLESIAS,Scuola Media,IGLESIAS
Scuola Media di VERCELLI,Scuola Media,VERCELLI
Scuola Superiore di CHIETI,Scuola Superiore,CHIETI
Scuola Media di TARANTO,Scuola Media,TARANTO
Scuola Media di BRINDISI,Scuola Media,BRINDISI
Scuola Superiore di IGLESIAS,Scuola Superiore,IGLESIAS
Scuola Elementare di ENNA,Scuola Elementare,ENNA
Scuola Superiore di ENNA,Scuola Superiore,ENNA
Scuola Media di CHIETI,Scuola Media,CHIETI
Scuola Elementare di VERCELLI,Scuola Elementare,VERCELLI
Università di PAVIA,Università,PAVIA
Università di LODI,Università,LODI
Università di IGLESIAS,Università,IGLESIAS
Università di PESCARA,Università,PESCARA
Università di BERGAMO,Università,BERGAMO
Università di PERUGIA,Università,PERUGIA
Scuola Elementare di BERGAMO,Scuola Elementare,BERGAMO
Università di MILANO,Università,MILANO
Università di VIBO VALENTIA,Università,VIBO VALENTIA
Università di ALESSANDRIA,Università,ALESSANDRIA
Università di RIETI,Università,RIETI
Università di CROTONE,Università,CROTONE
Scuola Elementare di ANCONA,Scuola Elementare,ANCONA
Scuola Elementare di MILANO,Scuola Elementare,MILANO
Scuola Elementare di REGGIO NELL'EMILIA,Scuola Elementare,REGGIO NELL'EMILIA
Scuola Media di MILANO,Scuola Media,MILANO
Scuola Elementare di ALESSANDRIA,Scuola Elementare,ALESSANDRIA
Scuola Superiore di CROTONE,Scuola Superiore,CROTONE
Scuola Elementare di CROTONE,Scuola Elementare,CROTONE
Scuola Elementare di VIBO VALENTIA,Scuola Elementare,VIBO VALENTIA
Scuola Media di ANCONA,Scuola Media,ANCONA
Scuola Superiore di ALESSANDRIA,Scuola Superiore,ALESSANDRIA
Scuola Media di REGGIO NELL'EMILIA,Scuola Media,REGGIO NELL'EMILIA
Scuola Elementare di RIETI,Scuola Elementare,RIETI
Università di MODENA,Università,MODENA
Università di UDINE,Università,UDINE
Scuola Media di MODENA,Scuola Media,MODENA
Scuola Superiore di BERGAMO,Scuola Superiore,BERGAMO
Scuola Superiore di TRIESTE,Scuola Superiore,TRIESTE
Scuola Superiore di MODENA,Scuola Superiore,MODENA
Scuola Media di UDINE,Scuola Media,UDINE
Scuola Media di AGRIGENTO,Scuola Media,AGRIGENTO
Scuola Superiore di UDINE,Scuola Superiore,UDINE
Scuola Media di VICENZA,Scuola Media,VICENZA
Scuola Elementare di AGRIGENTO,Scuola Elementare,AGRIGENTO
Scuola Media di VITERBO,Scuola Media,VITERBO
Scuola Media di PERUGIA,Scuola Media,PERUGIA
Scuola Media di BERGAMO,Scuola Media,BERGAMO
Scuola Media di PORDENONE,Scuola Media,PORDENONE
Università di MONZA,Università,MONZA
Università di CARRARA,Università,CARRARA
Università di BENEVENTO,Università,BENEVENTO
Università di CAMPOBASSO,Università,CAMPOBASSO
Scuola Media di CARRARA,Scuola Media,CARRARA
Scuola Media di CREMONA,Scuola Media,CREMONA
Scuola Elementare di BENEVENTO,Scuola Elementare,BENEVENTO
Scuola Elementare di CARRARA,Scuola Elementare,CARRARA
Scuola Elementare di PIACENZA,Scuola Elementare,PIACENZA
Scuola Elementare di CREMONA,Scuola Elementare,CREMONA
Scuola Elementare di MONZA,Scuola Elementare,MONZA
Scuola Elementare di CAMPOBASSO,Scuola Elementare,CAMPOBASSO
Scuola Elementare di ROVIGO,Scuola Elementare,ROVIGO
Scuola Media di PIACENZA,Scuola Media,PIACENZA
Università di CALTANISSETTA,Università,CALTANISSETTA
Università di CUNEO,Università,CUNEO
Università di COMO,Università,COMO
Università di RAVENNA,Università,RAVENNA
Università di PARMA,Università,PARMA
Università di NAPOLI,Università,NAPOLI
Università di PISTOIA,Università,PISTOIA
Università di COSENZA,Università,COSENZA
Scuola Elementare di COMO,Scuola Elementare,COMO
Scuola Elementare di RAVENNA,Scuola Elementare,RAVENNA
Scuola Elementare di NAPOLI,Scuola Elementare,NAPOLI
Scuola Media di NAPOLI,Scuola Media,NAPOLI
Scuola Media di COMO,Scuola Media,COMO
Scuola Elementare di PARMA,Scuola Elementare,PARMA
Scuola Elementare di CALTANISSETTA,Scuola Elementare,CALTANISSETTA
Scuola Superiore di PARMA,Scuola Superiore,PARMA
Scuola Media di PARMA,Scuola Media,PARMA
Scuola Elementare di RIMINI,Scuola Elementare,RIMINI
Scuola Elementare di CUNEO,Scuola Elementare,CUNEO
Scuola Media di COSENZA,Scuola Media,COSENZA
Università di CARBONIA,Università,CARBONIA
Università di VITERBO,Università,VITERBO
Università di PRATO,Università,PRATO
Università di ASCOLI PICENO,Università,ASCOLI PICENO
Università di NOVARA,Università,NOVARA
Scuola Elementare di NOVARA,Scuola Elementare,NOVARA
Scuola Elementare di ASCOLI PICENO,Scuola Elementare,ASCOLI PICENO
Scuola Elementare di VITERBO,Scuola Elementare,VITERBO
Scuola Elementare di PRATO,Scuola Elementare,PRATO
Università di ISERNIA,Università,ISERNIA
Università di CATANZARO,Università,CATANZARO
Università di TERAMO,Università,TERAMO
Università di PORDENONE,Università,PORDENONE
Università di AVELLINO,Università,AVELLINO
Scuola Elementare di SALERNO,Scuola Elementare,SALERNO
Scuola Elementare di CATANZARO,Scuola Elementare,CATANZARO
Scuola Elementare di COSENZA,Scuola Elementare,COSENZA
Scuola Media di ISERNIA,Scuola Media,ISERNIA
Scuola Elementare di ISERNIA,Scuola Elementare,ISERNIA
Scuola Superiore di CATANZARO,Scuola Superiore,CATANZARO
Scuola Media di CATANZARO,Scuola Media,CATANZARO
Scuola Superiore di PRATO,Scuola Superiore,PRATO
Scuola Superiore di ISERNIA,Scuola Superiore,ISERNIA
Scuola Media di TERAMO,Scuola Media,TERAMO
Scuola Media di PRATO,Scuola Media,PRATO
Università di SASSARI,Università,SASSARI
Scuola Elementare di SASSARI,Scuola Elementare,SASSARI
Università di TRENTO,Università,TRENTO
Università di LATINA,Università,LATINA
Scuola Superiore di TRENTO,Scuola Superiore,TRENTO
Scuola Superiore di LIVORNO,Scuola Superiore,LIVORNO
Scuola Media di SASSARI,Scuola Media,SASSARI
Scuola Media di TRAPANI,Scuola Media,TRAPANI
Scuola Media di TRIESTE,Scuola Media,TRIESTE
Scuola Superiore di ASCOLI PICENO,Scuola Superiore,ASCOLI PICENO
Scuola Superiore di TRAPANI,Scuola Superiore,TRAPANI
Scuola Media di CALTANISSETTA,Scuola Media,CALTANISSETTA
Università di PALERMO,Università,PALERMO
Scuola Superiore di LATINA,Scuola Superiore,LATINA
Scuola Superiore di BRINDISI,Scuola Superiore,BRINDISI
Università di LIVORNO,Università,LIVORNO
Scuola Media di LIVORNO,Scuola Media,LIVORNO
Scuola Media di TRENTO,Scuola Media,TRENTO
